EVENT_ID;PAGE_URL;EVENT_TYPE;USER_ID;PRODUCT_ID;SESSION_ID;CREATED_AT;ORDER_ID
5c357e7e-2b8d-4a59-ae41-816f8e5f45d6;https://greenary.com/checkout/8329a65b-7ddf-4250-aeee-bd625f8a401a;checkout;b3367c91-53bd-4aac-ab6d-0a596fe382c2;;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:30:33Z;8329a65b-7ddf-4250-aeee-bd625f8a401a
3674eaa5-e3a4-4634-aa56-d85162ac36da;https://greenary.com/shipping/8329a65b-7ddf-4250-aeee-bd625f8a401a;package_shipped;b3367c91-53bd-4aac-ab6d-0a596fe382c2;;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-12-02T02:30:34Z;8329a65b-7ddf-4250-aeee-bd625f8a401a
444e7cb4-cca8-4441-ba7f-9c9a7f7de07d;https://greenary.com/product/fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80;add_to_cart;b3367c91-53bd-4aac-ab6d-0a596fe382c2;fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:29:53Z;
acf5bc96-84ea-4bdc-b47e-f222f255506c;https://greenary.com/product/fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80;page_view;b3367c91-53bd-4aac-ab6d-0a596fe382c2;fb0e8be7-5ac4-4a76-a1fa-2cc4bf0b2d80;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:29:17Z;
09861aa5-bbce-4982-beaa-95d653075335;https://greenary.com/product/74aeb414-e3dd-4e8a-beef-0fa45225214d;add_to_cart;b3367c91-53bd-4aac-ab6d-0a596fe382c2;74aeb414-e3dd-4e8a-beef-0fa45225214d;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:29:00Z;
9b199c9d-f372-4a83-a27e-0b5cd6988614;https://greenary.com/product/74aeb414-e3dd-4e8a-beef-0fa45225214d;page_view;b3367c91-53bd-4aac-ab6d-0a596fe382c2;74aeb414-e3dd-4e8a-beef-0fa45225214d;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:27:49Z;
852d54b8-0577-4c00-8910-54c4154a10e3;https://greenary.com/product/5b50b820-1d0a-4231-9422-75e7f6b0cecf;add_to_cart;b3367c91-53bd-4aac-ab6d-0a596fe382c2;5b50b820-1d0a-4231-9422-75e7f6b0cecf;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:27:18Z;
78690a8b-76c8-479b-ad06-ba39641a4420;https://greenary.com/product/5b50b820-1d0a-4231-9422-75e7f6b0cecf;page_view;b3367c91-53bd-4aac-ab6d-0a596fe382c2;5b50b820-1d0a-4231-9422-75e7f6b0cecf;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:25:25Z;
bf9b5809-e0d8-415a-be60-e3379b942428;https://greenary.com/product/55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3;add_to_cart;b3367c91-53bd-4aac-ab6d-0a596fe382c2;55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:24:59Z;
df17938e-c00d-4c2d-b6aa-4508bd617205;https://greenary.com/product/55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3;page_view;b3367c91-53bd-4aac-ab6d-0a596fe382c2;55c6a062-5f4a-4a8b-a8e5-05ea5e6715a3;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:24:22Z;
1ba12f55-7281-45fa-8145-cee235423586;https://greenary.com/product/579f4cd0-1f45-49d2-af55-9ab2b72c3b35;add_to_cart;b3367c91-53bd-4aac-ab6d-0a596fe382c2;579f4cd0-1f45-49d2-af55-9ab2b72c3b35;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:23:46Z;
30e80ac9-b498-46b7-b786-0f05e689387f;https://greenary.com/product/579f4cd0-1f45-49d2-af55-9ab2b72c3b35;page_view;b3367c91-53bd-4aac-ab6d-0a596fe382c2;579f4cd0-1f45-49d2-af55-9ab2b72c3b35;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:21:52Z;
3c43489b-a55e-44cc-a30a-2648f25120e9;https://greenary.com/product/a88a23ef-679c-4743-b151-dc7722040d8c;page_view;b3367c91-53bd-4aac-ab6d-0a596fe382c2;a88a23ef-679c-4743-b151-dc7722040d8c;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:28:36Z;
97ea3a37-7eed-4adb-8454-4316de67e248;https://greenary.com/product/c7050c3b-a898-424d-8d98-ab0aaad7bef4;page_view;b3367c91-53bd-4aac-ab6d-0a596fe382c2;c7050c3b-a898-424d-8d98-ab0aaad7bef4;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:26:49Z;
2cef95b5-94e4-43ed-a4e3-a52082c09165;https://greenary.com/product/c17e63f7-0d28-4a95-8248-b01ea354840e;page_view;b3367c91-53bd-4aac-ab6d-0a596fe382c2;c17e63f7-0d28-4a95-8248-b01ea354840e;a646b9aa-0044-4fbd-8bae-a1018f5d4ace;2021-11-02T23:25:37Z;
d70e5634-8cdf-45c3-bb9b-e7e2c2dff6a2;https://greenary.com/checkout/f3ab84e6-dec5-43b4-9aa7-45b9988bff58;checkout;5faf7aa9-ca1a-44b6-bc00-5954bc39cc91;;dc881be8-fee9-4f48-bdf0-fd0435a8d4af;2021-11-02T15:13:07Z;f3ab84e6-dec5-43b4-9aa7-45b9988bff58
